"year","count","tag1","tag2","rank1","rank2"
2016,646,ajax,asp.net-mvc,27,5
2017,1643,android,asp.net-mvc,27,1
2017,1237,.net,asp.net-mvc,5,2
2017,1208,ajax,asp.net-mvc,16,3
2017,999,angularjs,asp.net-mvc,13,4
2017,882,asp.net,asp.net-mvc,4,5
2014,1058,asp.net-mvc,asp.net-mvc-4,15,1
2015,1459,asp.net-mvc,asp.net-mvc-4,17,1
2016,1067,asp.net-mvc,asp.net-mvc-4,21,1
2017,677,asp.net-mvc,asp.net-mvc-4,30,1
2013,31,.net,asp.net-mvc-5,11,1
2013,16,asp.net-mvc,asp.net-mvc-5,8,2
2013,11,asp.net,asp.net-mvc-5,11,3
2014,1370,asp.net-mvc,asp.net-mvc-5,7,1
2014,751,.net,asp.net-mvc-5,14,2
2014,481,asp.net,asp.net-mvc-5,10,3
2015,1854,asp.net-mvc,asp.net-mvc-5,6,1
2015,1199,.net,asp.net-mvc-5,22,2
2015,744,asp.net,asp.net-mvc-5,14,3
2016,1521,asp.net-mvc,asp.net-mvc-5,9,1
2016,1041,.net,asp.net-mvc-5,24,2
2016,418,asp.net,asp.net-mvc-5,12,3
2017,1511,asp.net-mvc,asp.net-mvc-5,8,1
2017,878,.net,asp.net-mvc-5,22,2
2017,528,asp.net,asp.net-mvc-5,15,3
2014,592,asp.net-mvc,asp.net-web-api,30,1
2015,1267,asp.net-mvc,asp.net-web-api,22,1
2016,1151,asp.net-mvc,asp.net-web-api,18,1
2017,1205,asp.net-mvc,asp.net-web-api,17,1
2014,19,ajax,bootstrap-3,32,1
2014,11,angularjs,bootstrap-3,22,2
2015,848,ajax,bootstrap-3,20,1
2015,686,angularjs,bootstrap-3,19,2
2016,821,ajax,bootstrap-3,18,1
2016,720,angularjs,bootstrap-3,18,2
2017,1242,ajax,bootstrap-3,14,1
2017,855,angularjs,bootstrap-3,15,2
2013,3,android,c,14,1
2013,1,.net,c,26,2
2014,1801,android,c,13,1
2014,637,.net,c,22,2
2014,384,ajax,c,22,3
2015,1755,android,c,19,1
2015,1072,.net,c,28,2
2015,818,ajax,c,23,3
2016,1985,android,c,19,1
2016,1079,.net,c,20,2
2016,698,ajax,c,22,3
2017,1897,android,c,24,1
2017,872,.net,c,23,2
2017,870,ajax,c,26,3
2013,60,.net,c#,1,1
2013,28,asp.net-mvc,c#,1,2
2013,27,asp.net,c#,1,3
2013,11,android,c#,3,4
2013,4,asp.net-mvc-5,c#,1,5
2013,3,ajax,c#,10,6
2013,2,c,c#,2,7
2014,2301,android,c#,6,1
2014,1850,asp.net-mvc,c#,1,2
2014,1371,.net,c#,1,3
2014,990,asp.net-mvc-5,c#,1,4
2014,879,asp.net,c#,1,5
2014,733,ajax,c#,9,6
2014,713,c,c#,5,7
2014,223,angularjs,c#,8,8
2015,2687,android,c#,11,1
2015,2644,asp.net-mvc,c#,1,2
2015,2293,.net,c#,1,3
2015,1319,asp.net,c#,1,4
2015,1275,ajax,c#,10,5
2015,1113,c,c#,8,6
2015,1021,angularjs,c#,9,7
2015,781,asp.net-mvc-5,c#,1,8
2016,2710,android,c#,11,1
2016,2409,asp.net-mvc,c#,1,2
2016,2037,.net,c#,1,3
2016,1501,c,c#,4,4
2016,1394,angularjs,c#,9,5
2016,1277,ajax,c#,9,6
2016,928,asp.net,c#,1,7
2016,541,asp.net-mvc-5,c#,1,8
2017,3699,android,c#,9,1
2017,2541,asp.net-mvc,c#,1,2
2017,1760,.net,c#,1,3
2017,1636,c,c#,9,4
2017,1460,ajax,c#,10,5
2017,1246,angularjs,c#,10,6
2017,1212,asp.net,c#,1,7
2017,553,asp.net-mvc-5,c#,1,8
2013,9,c#,c++,21,1
2013,2,android,c++,18,2
2013,1,c,c++,13,3
2014,2552,c#,c++,19,1
2014,1637,android,c++,16,2
2014,855,c,c++,1,3
2015,2390,c#,c++,31,1
2015,1594,android,c++,22,2
2015,1553,c,c++,1,3
2016,2880,c#,c++,30,1
2016,1776,c,c++,1,2
2016,963,android,c++,32,3
2017,3551,c#,c++,26,1
2017,2104,c,c++,1,2
2017,1574,android,c++,28,3
2014,412,c,character-encoding,19,1
2015,770,c,character-encoding,14,1
2016,801,c,character-encoding,25,1
2017,946,c,character-encoding,32,1
2013,3,ajax,codeigniter,9,1
2014,387,ajax,codeigniter,21,1
2015,921,ajax,codeigniter,16,1
2016,903,ajax,codeigniter,14,1
2017,759,ajax,codeigniter,29,1
2013,94,c#,css,2,1
2013,45,.net,css,4,2
2013,22,asp.net,css,3,3
2013,19,asp.net-mvc,css,3,4
2013,7,angularjs,css,3,5
2013,5,ajax,css,7,6
2013,4,android,css,11,7
2013,4,c++,css,7,8
2013,4,asp.net-mvc-5,css,6,9
2013,1,c,css,3,10
2014,4002,c#,css,4,1
2014,1931,android,css,11,2
2014,1394,asp.net-mvc,css,6,3
2014,956,ajax,css,6,4
2014,865,asp.net-mvc-5,css,5,5
2014,857,.net,css,11,6
2014,588,c,css,10,7
2014,504,asp.net,css,9,8
2014,490,c++,css,9,9
2014,281,angularjs,css,5,10
2015,5389,c#,css,9,1
2015,2586,android,css,12,2
2015,1688,asp.net-mvc,css,12,3
2015,1599,ajax,css,6,4
2015,1435,.net,css,12,5
2015,1174,angularjs,css,7,6
2015,884,c,css,12,7
2015,849,asp.net,css,9,8
2015,487,asp.net-mvc-5,css,9,9
2015,480,c++,css,10,10
2016,5258,c#,css,9,1
2016,2084,android,css,18,2
2016,1678,ajax,css,6,3
2016,1591,angularjs,css,6,4
2016,1568,asp.net-mvc,css,8,5
2016,1306,.net,css,12,6
2016,1187,c,css,13,7
2016,622,c++,css,12,8
2016,537,asp.net,css,7,9
2016,396,asp.net-mvc-5,css,5,10
2017,6560,c#,css,11,1
2017,2636,android,css,16,2
2017,2210,ajax,css,6,3
2017,1703,angularjs,css,6,4
2017,1618,asp.net-mvc,css,7,5
2017,1567,c,css,10,6
2017,1106,.net,css,13,7
2017,789,asp.net,css,6,8
2017,755,c++,css,10,9
2017,335,asp.net-mvc-5,css,8,10
2013,25,c#,css3,16,1
2013,17,css,css3,10,2
2013,5,angularjs,css3,6,3
2013,5,ajax,css3,6,4
2013,4,asp.net-mvc,css3,17,5
2014,2592,c#,css3,17,1
2014,2193,css,css3,7,2
2014,1039,asp.net-mvc,css3,18,3
2014,682,ajax,css3,11,4
2014,171,angularjs,css3,10,5
2015,3465,c#,css3,24,1
2015,2763,css,css3,8,2
2015,1374,asp.net-mvc,css3,18,3
2015,1080,ajax,css3,11,4
2015,697,angularjs,css3,18,5
2016,2695,css,css3,7,1
2016,2563,c#,css3,32,2
2016,1006,ajax,css3,13,3
2016,890,angularjs,css3,14,4
2016,640,asp.net-mvc,css3,32,5
2017,4262,css,css3,7,1
2017,3411,c#,css3,29,2
2017,1479,ajax,css3,9,3
2017,1158,angularjs,css3,12,4
2017,799,asp.net-mvc,css3,27,5
2014,841,css,data,25,1
2014,336,ajax,data,26,2
2015,954,css,data,26,1
2015,545,ajax,data,31,2
2016,1096,css,data,18,1
2016,607,ajax,data,28,2
2017,1643,css,data,18,1
2017,897,ajax,data,25,2
2013,4,android,delphi,12,1
2013,3,c#,delphi,26,2
2013,1,c,delphi,12,3
2014,1972,c#,delphi,27,1
2014,1019,android,delphi,27,2
2014,428,c,delphi,17,3
2015,3379,c#,delphi,26,1
2015,1154,android,delphi,30,2
2015,613,c,delphi,22,3
2016,2931,c#,delphi,28,1
2016,1437,android,delphi,26,2
2016,905,c,delphi,18,3
2017,3285,c#,delphi,30,1
2017,1851,android,delphi,25,2
2017,1054,c,delphi,28,3
2014,383,delphi,delphi-7,5,1
2015,427,delphi,delphi-7,5,1
2016,780,delphi,delphi-7,1,1
2017,556,delphi,delphi-7,1,1
2013,6,android,eclipse,7,1
2014,2021,android,eclipse,10,1
2014,380,c,eclipse,21,2
2015,2466,android,eclipse,13,1
2015,545,c,eclipse,28,2
2016,2134,android,eclipse,16,1
2016,845,c,eclipse,23,2
2017,1231,android,eclipse,31,1
2017,960,c,eclipse,31,2
2014,1181,android,edittext,24,1
2015,1413,android,edittext,25,1
2016,1816,android,edittext,21,1
2017,2234,android,edittext,20,1
2013,4,c#,entity-framework,25,1
2013,1,.net,entity-framework,27,2
2014,3786,c#,entity-framework,9,1
2014,1439,asp.net-mvc,entity-framework,4,2
2014,836,asp.net-mvc-5,entity-framework,6,3
2014,766,.net,entity-framework,13,4
2014,472,asp.net,entity-framework,11,5
2015,5267,c#,entity-framework,10,1
2015,1945,asp.net-mvc,entity-framework,5,2
2015,1354,.net,entity-framework,15,3
2015,764,asp.net,entity-framework,11,4
2015,611,asp.net-mvc-5,entity-framework,3,5
2016,5221,c#,entity-framework,10,1
2016,1814,asp.net-mvc,entity-framework,5,2
2016,1259,.net,entity-framework,13,3
2016,518,asp.net,entity-framework,9,4
2016,369,asp.net-mvc-5,entity-framework,8,5
2017,7474,c#,entity-framework,4,1
2017,1846,asp.net-mvc,entity-framework,5,2
2017,1119,.net,entity-framework,11,3
2017,655,asp.net,entity-framework,9,4
2017,413,asp.net-mvc-5,entity-framework,4,5
2014,1867,c#,entity-framework-6,28,1
2014,836,asp.net-mvc,entity-framework-6,22,2
2014,377,entity-framework,entity-framework-6,11,3
2015,3670,c#,entity-framework-6,21,1
2015,1314,asp.net-mvc,entity-framework-6,20,2
2015,495,entity-framework,entity-framework-6,11,3
2016,3827,c#,entity-framework-6,17,1
2016,1235,asp.net-mvc,entity-framework-6,16,2
2016,522,entity-framework,entity-framework-6,7,3
2017,4583,c#,entity-framework-6,22,1
2017,1060,asp.net-mvc,entity-framework-6,22,2
2017,653,entity-framework,entity-framework-6,8,3
2013,3,css,excel,25,1
2013,1,c#,excel,28,2
2014,2137,c#,excel,24,1
2014,696,css,excel,29,2
2014,668,asp.net-mvc,excel,28,3
2014,549,.net,excel,27,4
2014,363,c,excel,23,5
2015,3261,c#,excel,28,1
2015,1042,.net,excel,29,2
2015,893,css,excel,27,3
2015,886,asp.net-mvc,excel,32,4
2015,553,c,excel,27,5
2016,3504,c#,excel,21,1
2016,928,.net,excel,30,2
2016,920,asp.net-mvc,excel,25,3
2016,746,css,excel,30,4
2016,742,c,excel,29,5
2017,5083,c#,excel,17,1
2017,1621,css,excel,20,2
2017,1282,c,excel,23,3
2017,990,asp.net-mvc,excel,23,4
2017,810,.net,excel,29,5
2014,1200,css,facebook,13,1
2015,1218,css,facebook,21,1
2016,690,css,facebook,31,1
2017,1351,css,facebook,29,1
2014,11,android,firebase,32,1
2015,16,android,firebase,32,1
2016,1890,android,firebase,20,1
2017,3865,android,firebase,6,1
2013,7,css,firefox,19,1
2014,1106,css,firefox,14,1
2015,877,css,firefox,28,1
2016,852,css,firefox,28,1
2017,1542,css,firefox,22,1
2015,713,c,for,16,1
2016,1131,c,for,15,1
2017,1514,c,for,14,1
2013,6,css,get,20,1
2014,711,css,get,28,1
2015,848,css,get,29,1
2016,777,css,get,29,1
2017,1425,css,get,28,1
2013,27,c#,git,14,1
2013,14,css,git,11,2
2014,1812,c#,git,29,1
2014,1059,css,git,17,2
2014,424,c,git,18,3
2015,3073,c#,git,30,1
2015,1147,css,git,22,2
2015,686,c,git,17,3
2016,3014,c#,git,26,1
2016,1009,css,git,25,2
2016,880,c,git,20,3
2017,3490,c#,git,28,1
2017,1244,css,git,30,2
2017,1051,c,git,29,3
2014,811,css,google,26,1
2015,827,css,google,31,1
2016,689,css,google,32,1
2017,1467,css,google,26,1
2013,13,css,google-chrome,12,1
2014,1207,css,google-chrome,12,1
2015,1264,css,google-chrome,18,1
2016,985,css,google-chrome,26,1
2017,1476,css,google-chrome,25,1
2013,5,css,google-maps,24,1
2013,2,android,google-maps,16,2
2014,1613,android,google-maps,18,1
2014,1039,css,google-maps,18,2
2015,2146,android,google-maps,16,1
2015,1090,css,google-maps,24,2
2016,2098,android,google-maps,17,1
2016,1238,css,google-maps,14,2
2017,2776,android,google-maps,14,1
2017,1536,css,google-maps,23,2
2013,92,c#,html,4,1
2013,69,css,html,1,2
2013,44,.net,html,5,3
2013,21,asp.net,html,4,4
2013,17,asp.net-mvc,html,5,5
2013,10,css3,html,3,6
2013,6,angularjs,html,5,7
2013,5,ajax,html,5,8
2013,4,asp.net-mvc-5,html,5,9
2013,4,c++,html,10,10
2013,4,android,html,10,11
2013,3,delphi,html,4,12
2013,2,codeigniter,html,5,13
2013,1,c,html,11,14
2014,4281,c#,html,3,1
2014,3206,css,html,1,2
2014,2113,android,html,9,3
2014,1431,asp.net-mvc,html,5,4
2014,1096,ajax,html,4,5
2014,910,.net,html,4,6
2014,874,asp.net-mvc-5,html,4,7
2014,667,c,html,7,8
