"year","count","tag1","tag2","rank1","rank2"
2010,392,asp.net-mvc,asp.net-mvc-4,30,2
2011,5474,asp.net,asp.net-mvc-4,31,1
2011,5105,asp.net-mvc,asp.net-mvc-4,30,2
2012,52056,asp.net,asp.net-mvc-4,29,1
2012,33315,asp.net-mvc,asp.net-mvc-4,12,2
2013,96610,asp.net,asp.net-mvc-4,10,1
2013,68599,asp.net-mvc,asp.net-mvc-4,4,2
2014,80901,asp.net,asp.net-mvc-4,9,1
2014,73929,asp.net-mvc,asp.net-mvc-4,4,2
2015,69046,asp.net-mvc,asp.net-mvc-4,5,1
2015,62903,asp.net,asp.net-mvc-4,12,2
2016,59413,asp.net-mvc,asp.net-mvc-4,7,1
2016,49102,asp.net,asp.net-mvc-4,14,2
2017,46370,asp.net-mvc,asp.net-mvc-4,8,1
2017,39726,asp.net,asp.net-mvc-4,14,2
2008,33,asp.net,asp.net-web-api,29,1
2008,7,asp.net-mvc,asp.net-web-api,29,2
2009,1126,asp.net,asp.net-web-api,29,1
2009,218,asp.net-mvc,asp.net-web-api,30,2
2010,820,asp.net,asp.net-web-api,31,1
2010,80,asp.net-mvc,asp.net-web-api,31,2
2011,1271,asp.net,asp.net-web-api,32,1
2011,696,asp.net-mvc,asp.net-web-api,31,2
2012,34334,asp.net,asp.net-web-api,32,1
2012,20393,asp.net-mvc,asp.net-web-api,25,2
2012,635,angularjs,asp.net-web-api,23,3
2013,53635,asp.net,asp.net-web-api,30,1
2013,35731,asp.net-mvc,asp.net-web-api,17,2
2013,11141,angularjs,asp.net-web-api,25,3
2014,56394,asp.net,asp.net-web-api,23,1
2014,45256,asp.net-mvc,asp.net-web-api,12,2
2014,36402,angularjs,asp.net-web-api,20,3
2015,60166,angularjs,asp.net-web-api,19,1
2015,53258,asp.net,asp.net-web-api,15,2
2015,49890,asp.net-mvc,asp.net-web-api,12,3
2016,53965,angularjs,asp.net-web-api,21,1
2016,50296,asp.net,asp.net-web-api,13,2
2016,49646,asp.net-mvc,asp.net-web-api,12,3
2017,44830,asp.net,asp.net-web-api,12,1
2017,42391,asp.net-mvc,asp.net-web-api,12,2
2017,34172,angularjs,asp.net-web-api,21,3
2008,55,asp.net-mvc,azure,25,1
2009,1684,asp.net-mvc,azure,27,1
2010,4601,asp.net-mvc,azure,29,1
2011,8828,asp.net-mvc,azure,29,1
2012,13398,asp.net-mvc,azure,31,1
2013,19607,asp.net-mvc,azure,32,1
2014,27734,asp.net-mvc,azure,25,1
2015,27082,asp.net-mvc,azure,27,1
2016,33511,asp.net-mvc,azure,19,1
2017,27077,asp.net-mvc,azure,18,1
2008,10128,.net,c,14,1
2008,739,bash,c,4,2
2008,56,android,c,7,3
2009,47507,.net,c,18,1
2009,4180,bash,c,4,2
2009,1552,android,c,15,3
2010,58354,.net,c,21,1
2010,20012,android,c,20,2
2010,8253,bash,c,5,3
2011,68928,.net,c,26,1
2011,64378,android,c,18,2
2011,12822,bash,c,6,3
2012,99185,android,c,22,1
2012,58926,.net,c,25,2
2012,22785,bash,c,5,3
2013,115753,android,c,22,1
2013,49601,.net,c,27,2
2013,30304,bash,c,6,3
2014,112017,android,c,24,1
2014,40008,bash,c,6,2
2014,36696,.net,c,26,3
2015,88395,android,c,26,1
2015,39865,bash,c,6,2
2015,30077,.net,c,28,3
2016,90400,android,c,25,1
2016,40746,bash,c,7,2
2016,21833,.net,c,32,3
2017,67434,android,c,29,1
2017,34204,bash,c,12,2
2017,17555,.net,c,30,3
2008,25270,.net,c#,1,1
2008,13827,asp.net,c#,1,2
2008,5172,c,c#,2,3
2008,3039,asp.net-mvc,c#,1,4
2008,1592,ajax,c#,3,5
2008,676,bash,c#,8,6
2008,75,android,c#,2,7
2009,96047,.net,c#,1,1
2009,70925,asp.net,c#,1,2
2009,31741,c,c#,2,3
2009,25467,asp.net-mvc,c#,1,4
2009,10480,ajax,c#,6,5
2009,3458,bash,c#,11,6
2009,2547,android,c#,4,7
2009,1,angularjs,c#,2,8
2010,122451,.net,c#,1,1
2010,98611,asp.net,c#,1,2
2010,62644,c,c#,4,3
2010,35577,asp.net-mvc,c#,1,4
2010,27995,android,c#,10,5
2010,17850,ajax,c#,7,6
2010,7022,bash,c#,12,7
2010,9,asp.net-mvc-4,c#,1,8
2011,166493,.net,c#,1,1
2011,155678,asp.net,c#,1,2
2011,81270,android,c#,14,3
2011,78625,c,c#,5,4
2011,43050,asp.net-mvc,c#,1,5
2011,30779,ajax,c#,8,6
2011,9628,bash,c#,16,7
2011,174,asp.net-mvc-4,c#,1,8
2011,16,angularjs,c#,3,9
2012,169295,asp.net,c#,1,1
2012,159742,.net,c#,1,2
2012,134485,android,c#,17,3
2012,99654,c,c#,7,4
2012,56050,asp.net-mvc,c#,1,5
2012,42429,ajax,c#,9,6
2012,14532,bash,c#,19,7
2012,10381,asp.net-mvc-4,c#,1,8
2012,1172,angularjs,c#,12,9
2013,185242,asp.net,c#,1,1
2013,165625,android,c#,16,2
2013,150786,.net,c#,1,3
2013,124983,c,c#,7,4
2013,82664,asp.net-mvc,c#,1,5
2013,53654,ajax,c#,9,6
2013,48199,asp.net-mvc-4,c#,1,7
2013,19283,angularjs,c#,10,8
2013,19008,bash,c#,21,9
2014,177449,android,c#,17,1
2014,160413,asp.net,c#,1,2
2014,122858,.net,c#,1,3
2014,117057,c,c#,8,4
2014,95684,asp.net-mvc,c#,1,5
2014,55974,angularjs,c#,10,6
2014,52029,ajax,c#,10,7
2014,38681,asp.net-mvc-4,c#,1,8
2014,27471,bash,c#,22,9
2015,172439,android,c#,16,1
2015,140744,asp.net,c#,1,2
2015,134049,c,c#,7,3
2015,108808,.net,c#,1,4
2015,102132,asp.net-mvc,c#,1,5
2015,99331,angularjs,c#,10,6
2015,52038,ajax,c#,11,7
2015,26116,asp.net-mvc-4,c#,1,8
2015,24556,bash,c#,22,9
2016,177818,android,c#,17,1
2016,123984,asp.net,c#,1,2
2016,118715,c,c#,9,3
2016,99518,asp.net-mvc,c#,1,4
