"year","month","day","tag","answercount","commentcount","questioncount","upvotes","downvotes","offensivevotes"
2014,12,23,git,2,1,1,0,0,0
2014,12,23,ios,1,1,1,1,0,0
2014,12,23,java,1,0,1,2,0,0
2014,12,23,javascript,5,1,3,2,0,0
2014,12,23,jquery,3,0,1,0,0,0
2014,12,23,node.js,1,1,1,1,0,0
2014,12,23,php,10,0,4,3,0,0
2014,12,23,python,0,2,0,0,0,0
2014,12,23,ruby,2,1,1,0,0,0
2014,12,23,ruby-on-rails,2,1,1,0,0,0
2014,12,23,swift,1,1,1,1,0,0
2014,12,23,symfony2,3,0,2,1,0,0
2014,12,23,windows,3,11,1,0,0,0
2014,12,23,xcode,1,1,1,1,0,0
2014,12,24,android,8,5,5,6,0,0
2014,12,24,android-studio,1,0,1,1,0,0
2014,12,24,angularjs,1,0,1,0,0,0
2014,12,24,c#,0,1,0,0,0,0
2014,12,24,cordova,1,0,1,1,0,0
2014,12,24,google-maps,1,0,1,1,0,0
2014,12,24,ios,1,0,1,1,0,0
2014,12,24,java,15,14,5,8,0,0
2014,12,24,javascript,3,8,2,2,0,0
2014,12,24,jquery,2,8,1,2,0,0
2014,12,24,linux,5,8,2,3,0,0
2014,12,24,objective-c,1,0,1,0,0,0
2014,12,24,os-x,1,0,1,0,0,0
2014,12,24,php,2,5,1,3,0,0
2014,12,24,postgresql,3,5,2,1,0,0
2014,12,24,python,0,3,0,0,0,0
2014,12,24,ruby,1,3,1,1,0,0
2014,12,24,scala,1,0,1,1,0,0
2014,12,24,swift,1,4,1,0,3,0
2014,12,24,symfony2,0,0,0,0,0,0
2014,12,24,unity3d,0,3,1,1,0,0
2014,12,24,windows,0,1,0,0,0,0
2014,12,24,xcode,1,4,1,0,3,0
2014,12,25,android,3,1,2,1,0,0
2014,12,25,angularjs,0,1,0,1,0,0
2014,12,25,c,3,0,1,0,0,0
2014,12,25,c#,3,2,1,2,0,0
2014,12,25,git,3,4,1,0,0,0
2014,12,25,github,2,2,1,2,0,0
2014,12,25,go,1,6,1,2,0,0
2014,12,25,google-maps,0,1,0,0,0,0
2014,12,25,html5,1,0,1,0,0,0
2014,12,25,ios,0,0,0,0,0,0
2014,12,25,java,1,0,1,0,0,0
2014,12,25,javascript,11,33,3,6,1,0
2014,12,25,jquery,1,3,1,2,0,0
2014,12,25,linux,2,3,1,1,0,0
2014,12,25,mysql,5,6,3,0,0,0
2014,12,25,objective-c,1,0,1,1,0,0
