"year","count","tag1","tag2","rank1","rank2"
2015,70,git,github,12,1
2016,84,git,github,9,1
2017,77,git,github,1,1
2014,4,c++,go,20,1
2015,119,c++,go,28,1
2016,44,c++,go,18,1
2017,61,c++,go,26,1
2014,17,css,google-chrome,13,1
2014,6,c#,google-chrome,20,2
2014,5,c++,google-chrome,18,3
2014,4,c,google-chrome,24,4
2015,226,c#,google-chrome,25,1
2015,126,c++,google-chrome,26,2
2015,122,c,google-chrome,27,3
2015,106,css,google-chrome,18,4
2016,132,c#,google-chrome,26,1
2016,56,css,google-chrome,18,2
2016,29,c,google-chrome,26,3
2016,27,c++,google-chrome,27,4
2017,132,css,google-chrome,6,1
2017,125,c,google-chrome,18,2
2017,116,c#,google-chrome,28,3
2017,91,c++,google-chrome,19,4
2014,4,android,google-maps,28,1
2015,467,android,google-maps,14,1
2016,50,android,google-maps,28,1
2017,29,android,google-maps,31,1
2014,17,android,gradle,26,1
2015,393,android,gradle,21,1
2016,49,android,gradle,29,1
2017,66,android,gradle,27,1
2014,30,css,html,4,1
2014,28,android,html,21,2
2014,15,c#,html,14,3
2014,9,.net,html,5,4
2014,8,git,html,12,5
2014,7,c,html,19,6
2014,6,c++,html,16,7
2014,2,centos,html,11,8
2014,2,go,html,10,9
2015,554,android,html,8,1
2015,455,c#,html,6,2
2015,285,css,html,2,3
2015,252,c++,html,9,4
2015,215,c,html,10,5
2015,165,go,html,3,6
2015,127,centos,html,4,7
2015,110,git,html,6,8
2015,103,.net,html,7,9
2016,256,c#,html,4,1
2016,205,css,html,1,2
2016,106,android,html,18,3
2016,96,c,html,8,4
2016,83,c++,html,8,5
2016,83,.net,html,5,6
2016,76,centos,html,11,7
2016,71,go,html,4,8
2016,63,git,html,11,9
2017,266,c#,html,5,1
2017,229,css,html,2,2
2017,152,c,html,15,3
2017,123,c++,html,13,4
2017,66,centos,html,9,5
2017,65,go,html,4,6
2017,62,android,html,28,7
2017,50,git,html,9,8
2017,37,.net,html,6,9
2014,34,android,html5,13,1
2014,33,css,html5,2,2
2014,17,c#,html5,12,3
2014,8,c,html5,14,4
2014,6,c++,html5,17,5
2014,4,html,html5,14,6
2015,340,c#,html5,15,1
2015,334,html,html5,5,2
2015,320,android,html5,29,3
2015,206,css,html5,4,4
2015,185,c++,html5,19,5
2015,154,c,html5,22,6
2016,203,c#,html5,15,1
2016,190,html,html5,4,2
2016,121,android,html5,14,3
2016,108,css,html5,6,4
2016,60,c,html5,20,5
2016,44,c++,html5,19,6
2017,246,html,html5,3,1
2017,225,c#,html5,12,2
2017,173,css,html5,4,3
2017,129,c,html5,17,4
2017,106,android,html5,13,5
2017,93,c++,html5,18,6
2015,255,c#,iis,21,1
2016,102,c#,iis,30,1
2017,140,c#,iis,24,1
2014,1,html,internet-explorer,20,1
2015,134,html,internet-explorer,25,1
2016,72,html,internet-explorer,26,1
2017,67,html,internet-explorer,24,1
2014,39,android,ios,6,1
2014,21,css,ios,12,2
2014,20,c#,ios,5,3
2014,8,c,ios,16,4
2014,7,c++,ios,15,5
2014,6,html,ios,5,6
2015,660,android,ios,4,1
2015,317,c#,ios,17,2
2015,250,html,ios,9,3
2015,190,c++,ios,18,4
2015,167,c,ios,18,5
2015,130,css,ios,8,6
2016,232,c#,ios,8,1
2016,214,android,ios,3,2
2016,140,html,ios,10,3
2016,77,css,ios,14,4
2016,52,c++,ios,15,5
2016,48,c,ios,23,6
2017,143,android,ios,4,1
2017,118,html,ios,17,2
2017,91,css,ios,15,3
2017,48,c#,ios,31,4
2017,38,c,ios,29,5
2017,26,c++,ios,27,6
2015,603,ios,ios8,5,1
2016,130,ios,ios8,26,1
2014,22,ios,iphone,10,1
2014,1,android,iphone,29,2
2014,1,html,iphone,21,3
2015,674,ios,iphone,4,1
2015,329,android,iphone,28,2
2015,127,html,iphone,26,3
2016,317,ios,iphone,5,1
2016,91,android,iphone,23,2
2016,75,html,iphone,25,3
2017,157,ios,iphone,6,1
2017,96,android,iphone,16,2
2017,92,html,iphone,20,3
2014,75,android,java,1,1
2014,23,ios,java,8,2
2014,18,git,java,6,3
2014,14,c#,java,15,4
2014,13,c++,java,3,5
2014,13,css,java,18,6
2014,10,c,java,10,7
2014,10,android-studio,java,1,8
2014,7,html5,java,4,9
2014,5,go,java,3,10
2014,4,centos,java,8,11
2014,3,html,java,15,12
2015,1005,android,java,1,1
2015,421,c#,java,9,2
2015,415,ios,java,11,3
2015,367,html,java,4,4
2015,302,c++,java,1,5
2015,243,c,java,5,6
2015,200,css,java,6,7
2015,168,go,java,2,8
2015,146,android-studio,java,1,9
2015,119,centos,java,6,10
2015,117,git,java,5,11
2015,116,html5,java,3,12
2016,390,android,java,1,1
2016,257,c#,java,3,2
2016,206,ios,java,12,3
2016,177,html,java,6,4
2016,115,c,java,4,5
2016,110,css,java,5,6
2016,105,c++,java,1,7
2016,100,git,java,6,8
2016,95,centos,java,4,9
2016,83,html5,java,5,10
2016,64,android-studio,java,1,11
2016,23,go,java,10,12
2017,282,c#,java,3,1
2017,240,android,java,1,2
2017,191,c,java,4,3
2017,181,c++,java,2,4
2017,164,html,java,6,5
2017,137,ios,java,9,6
2017,103,css,java,13,7
2017,89,html5,java,4,8
2017,70,centos,java,7,9
2017,69,git,java,3,10
2017,55,go,java,7,11
2017,55,android-studio,java,1,12
2015,125,java,java-ee,30,1
2016,80,java,java-ee,23,1
2017,114,java,java-ee,21,1
